material_type,material_cost_per_kg,quantity,machine_hours,machine_rate_per_hr,labor_hours,labor_rate_per_hr,energy_consumption_kWh,energy_rate_per_kWh,overhead_cost,defect_rate,inventory_time_days,inventory_cost_per_day,total_cost
Steel,8.2,245.37,1.61,70.34,14.86,34.98,134.53,0.16,758.86,3.56,100,15.28,5025.1
Steel,3.31,18.63,18.34,67.76,1.51,18.86,414.32,0.19,128.19,4.33,14,8.03,1654.86
Steel,14.22,255.2,39.3,46.97,1.46,11.97,247.78,0.09,478.45,14.07,113,4.29,6988.45
Brass,23.54,482.19,28.53,54.07,8.03,19.87,276.27,0.06,89.45,12.39,113,2.87,14889.62
Copper,2.9,195.18,15.98,47.39,7.39,18.49,159.33,0.28,606.22,10.47,24,7.22,2343.33
Brass,4.81,24.3,32.89,12.16,6.65,37.04,99.09,0.22,279.12,1.23,52,3.59,1252.18
Copper,12.4,20.32,11.98,40.18,10.07,31.67,52.1,0.28,537.07,6.27,20,3.97,1699.1
Brass,23.48,197.05,1.21,25.94,6.75,22.68,359.92,0.09,527.11,8.39,118,13.99,7409.72
Brass,9.27,84.21,38.34,18.86,4.25,39.59,106.15,0.22,925.87,2.81,101,1.37,2781.51
Titanium,13.67,16.56,31.38,96.1,6.53,21.28,348.14,0.13,558.1,6.72,65,3.23,4209.47
Plastic,2.96,379.33,38.23,63.94,19.51,7.04,201.28,0.12,591.34,9.02,90,17.04,5954.97
Brass,5.41,231.97,2.43,75.58,8.52,14.18,213.73,0.05,413.62,4.91,112,17.05,3954.96
Titanium,24.69,148.18,41.94,38.38,9.17,20.26,239.9,0.09,950.1,11.71,31,7.26,7079.17
Aluminum,24.2,450.54,31.17,45.38,11.74,10.49,190.18,0.14,781.64,12.61,20,2.67,14677.26
Plastic,2.11,62.49,28.39,31.32,19.68,38.16,59.3,0.09,299.7,4.85,67,14.39,3047.58
Brass,23.89,478.18,31.42,18.73,5.21,31.84,161.72,0.35,847.33,12.58,43,7.84,14856.26
Steel,16.7,160.41,43.29,26.11,13.79,14.39,335.23,0.14,443.75,1.55,82,1.86,4692.31
Aluminum,21.96,444.76,29.55,81.78,14.46,25.68,336.23,0.09,832.09,12.57,65,4,14904.92
Aluminum,12.46,303.46,29.26,70.98,12.34,30.25,150.25,0.11,826.43,2.29,89,3.61,7482.11
Titanium,13.86,414.22,49.54,59.22,2.23,37.94,235.45,0.23,205.09,1.24,97,12.19,10272.32
Aluminum,13.24,492.09,37.96,52.76,13.7,35.86,104.79,0.07,707.12,9.63,13,18.06,10585.98
Plastic,17.34,147.76,22.39,93.02,1.75,23.03,113.08,0.31,304.83,7.08,14,16.07,5431.44
Brass,5.21,480.76,35.52,16.55,12.12,32.11,21.29,0.34,311.54,13.62,19,11.38,4357.94
Brass,2.69,197.79,19.77,35.25,14.92,24.68,449.41,0.12,310.42,5.45,33,9.02,2288.18
Steel,9.08,195.83,11.83,41.49,4.61,24.34,113.25,0.19,731.06,4.31,35,12.75,3656.64
Titanium,18.21,173.49,30.04,80.42,16.91,9.02,121.49,0.06,245.23,7.51,82,9.43,6990.64
Steel,6.64,273,46.45,99.33,1.09,9.41,147,0.24,20.89,6.84,8,5.68,6662.46
Aluminum,17.49,81.3,46.49,31.66,16.95,23.53,72.43,0.17,720.93,5.17,70,13.9,5072.4
Steel,24.31,279.09,17.42,88.69,9.48,14.41,323.24,0.13,187.76,10.41,29,17.59,9912.44
Plastic,4.16,273.14,26.62,84.76,4.74,5.74,46.82,0.11,122.39,11.39,76,8.08,4290.82
Brass,17.47,382.14,10.98,30.22,3.11,30.3,75.76,0.25,252.77,12.79,90,16.99,9756.7
Aluminum,12.21,417.66,49.78,45.94,19.09,6.14,325.93,0.17,392.3,14.59,62,9.19,9265.26
Steel,21.97,223.02,49.07,46.87,1.92,25.83,176.43,0.1,486.39,4,107,8.63,8872.69
Titanium,6.07,154.65,32.65,98.04,4.38,23.87,356.89,0.26,63.68,10.74,34,1.54,4553.93
Plastic,17.93,133.37,40.32,26.28,7.28,38.91,283.14,0.22,971.16,5.91,12,14.21,5079.5
Plastic,21.28,101.34,35.9,81.92,12.59,21.95,135.45,0.31,721.74,10.16,78,16.34,7631.15
Steel,23.73,33.54,29.86,40.08,11.12,7.23,328.91,0.09,336.73,7.14,45,13.61,3108.7
Brass,17.71,174.51,3.14,75.78,2.95,24.31,66.97,0.29,332.32,14.91,55,3.88,4426.18
Steel,13.44,138.77,23.01,47.8,6.15,34.44,272.84,0.25,459.57,10.93,8,2.96,3932.06
Aluminum,16.21,483.38,33.9,62.05,5.16,39.89,224.2,0.08,633.72,14.29,108,11.88,13199.32
Steel,21.98,281.07,34.04,84.94,4.66,20.06,141.26,0.26,163.45,12.52,86,8.63,10878.59
Plastic,15.12,176.9,18.97,82.37,8.52,16.21,305.96,0.18,205.15,13.54,117,9.15,6068.33
Steel,2.7,292.33,47.11,87.98,14.23,36.73,436.95,0.33,862.25,12.22,35,19.39,7238.24
Brass,23.41,73.9,8.78,15.37,4.74,11.69,499.46,0.09,271.13,6.89,116,14.75,4066.64
Titanium,17.86,224.8,25.27,72.28,7.65,26.54,307.8,0.24,392.59,3.78,103,8.82,7571.16
Copper,17.56,314.99,34.7,22.6,8.12,19.2,208.31,0.16,873.85,5.55,2,1.36,7688.23
Steel,6.96,247,35.01,47.42,19.54,6.44,120.35,0.34,669.88,0.3,97,1.65,4381.14
Brass,17.15,203.88,32.61,59.37,19.12,17.16,135.98,0.15,354.88,7.86,18,14.01,6662.98
Brass,11.06,496.95,14.13,46.25,16.1,14.28,244.93,0.34,690.03,7.58,27,16.92,8026.45
Titanium,16.98,440.76,8.23,56.77,5.21,29.01,189.97,0.32,39.29,7.88,22,14.45,9110.19
Plastic,4.45,313.59,31.98,99.69,1.83,38.21,457.77,0.13,740.93,14.61,103,8.71,6554.94
Brass,17.13,286.84,30.17,22.17,6.68,14.38,190.46,0.29,497.28,13.67,112,1.59,7080.77
Brass,24.99,312.23,9.38,70.79,5.7,33.4,192.99,0.35,816.92,2.43,108,19.38,11824.13
Brass,3.11,104.65,35.4,45.64,10.37,6.94,197.93,0.13,955.54,5.53,6,19.74,3130.79
Brass,24.48,200.59,23.03,21.97,15.67,23.83,419.94,0.18,927.27,6.36,104,11.44,8294.75
Aluminum,11.36,24.53,33.55,24.29,17.24,7.47,328.89,0.21,911.08,5.41,75,2.34,2393.1
Aluminum,22.03,240.4,41.95,95.43,16.97,37.69,310.94,0.14,521.93,11.98,13,11.28,11285.46
Plastic,19.99,273.8,8.9,89.16,7.51,31.82,173.73,0.05,372.94,7.86,45,17.95,8125.33
Steel,15.04,117.74,1.45,91.63,13.9,28.03,410.77,0.12,475.73,8.58,14,13.92,3165.13
Brass,18.98,482.19,39.07,99.24,6.6,33.84,28.8,0.13,696.1,12.8,66,14.68,16092.79
Titanium,22.21,455.18,30.68,28.75,1.69,27.66,436.69,0.18,886.32,12.09,14,2.61,13262.05
Steel,11.3,362.46,35.13,41.99,14.18,38.91,261.25,0.1,222.85,1.98,50,3.02,6603.72
Titanium,9.52,269.03,41.99,70.23,0.69,29.99,205.14,0.31,919.83,10.71,87,3.42,7086.08
Steel,17.35,435.63,40.24,53.54,8.48,37.36,253.61,0.26,818.88,6.53,115,18.18,13498.51
Plastic,20.58,69.67,48.07,47.66,6.92,23.1,337.03,0.08,979.28,4.42,109,10.99,6152.2
Brass,19.53,396.3,27.03,42.2,14.02,9.1,16.26,0.25,882.65,0.75,7,16.04,10065.03
Brass,20.35,66.79,24.68,63.44,15.44,23.49,437.06,0.25,294.34,7.31,68,3.19,4007.44
Copper,12.02,398.13,20.39,61.8,6.43,9.44,228.9,0.34,123.84,5.33,61,18.63,7699.49
Titanium,20.81,141.5,8.11,24.53,16.33,25.74,178.05,0.05,130,3.77,50,16.6,4643.8
Steel,4.76,439.16,28.84,52.46,6.23,21.89,77.74,0.12,305.4,10.42,62,5.27,4599.01
Steel,14.52,472.3,14.21,59.81,9.2,26.79,225.34,0.33,621.9,11.54,67,17.61,10621.69
Aluminum,2.13,78.65,46.1,61.33,14.68,5.35,253.2,0.33,808.23,3.67,77,6.01,4434.08
Copper,9.47,234.02,29.37,28.91,14.01,11.82,207.79,0.27,901.27,0.74,15,4.9,4278.13
Aluminum,10.43,490.59,29.85,76.8,19.75,22.2,342.54,0.28,631.28,12.73,83,6.02,9726.01
Aluminum,11.11,244.29,18.07,12.27,4.89,38.27,216.24,0.08,25.52,0.15,23,18.29,3590.48
Aluminum,18,432.46,3.07,41.93,13.42,18.43,481.09,0.2,202.59,14.06,5,18.4,9645.61
Titanium,10.94,296.42,2.07,80.22,12.39,19.85,303.65,0.12,117.73,9.41,118,7.25,4969.65
Titanium,12.32,190.79,21.46,60.75,18.34,30.01,405.66,0.1,376.06,4.83,56,14.4,5541.17
Plastic,7.46,146.46,4.69,33.5,3.55,26.13,63.58,0.29,511.32,3.7,30,13.84,2327.85
Plastic,10.58,105.6,30.54,72.55,15.16,15.46,204.67,0.09,62.53,0.14,5,16.32,3731.41
Aluminum,7.23,382.09,44.11,61.07,11.58,19.38,175.06,0.19,361.51,3.53,98,6.63,6822.76
Copper,3.68,196.34,44.2,81.66,5.86,12.62,289.05,0.33,195.6,2.07,78,10.69,5545.62
Steel,15.88,258.08,33.12,76.15,9.75,38.81,431.95,0.11,654.13,9.18,28,13.69,8459.99
Titanium,17.37,248.7,10.96,64.91,7.01,9.57,48.39,0.34,474.99,2.5,66,1.5,5796.86
Copper,16.25,290.75,43.22,53.94,11.8,18.01,45.56,0.35,505.41,7.93,74,8.16,8768.36
Brass,12.66,433.46,44.36,21.99,17.84,5.9,426.66,0.22,439.14,8.85,2,14.22,7615.43
Titanium,10.74,490.47,10.23,33.52,11.6,12.76,114.3,0.1,956.9,4.47,27,5.8,7118.97
Titanium,21.86,206.75,37,47.72,12.82,32.32,337.69,0.14,230.44,0.53,73,19.2,8402.81
Plastic,13.94,414.62,14.68,63.94,10.62,12.04,276.01,0.18,526.33,0.56,113,1.57,7632.1
Steel,13.02,383.44,40.23,56.23,1.5,7.8,418.12,0.14,741.3,0.4,96,19.2,9929.23
Steel,2.59,288.9,49.86,35.94,5.04,21.61,71.29,0.13,565.71,11.09,47,5.12,3547.73
Brass,9.85,478.24,1.99,10.58,10.09,5.35,73.59,0.34,930.44,4.77,79,1.93,6118.33
Brass,10.74,104.23,44.92,54.66,6.55,7.97,282.84,0.1,390.41,11.94,9,6.56,4238.35
Titanium,11.17,59.09,31.32,35.71,4.04,33.27,473.73,0.27,474.4,6.48,32,15.94,3068.04
Aluminum,15.34,427.71,48.68,76.11,10.33,32,213.35,0.05,106.75,6.79,99,15.3,12674.28
Plastic,14.27,222.38,23.52,12.16,6.79,37.03,170.2,0.23,616.82,7.69,66,4.97,4938.82
Plastic,15.98,424.25,42.45,62.63,5.53,34.91,307.28,0.32,302.45,10.7,68,4.74,11079.72
Titanium,19.59,447.08,3.59,94.73,9.55,28.91,465.92,0.14,177.1,4.1,11,13.21,10121.2
Copper,20.7,35.92,17.1,25.7,3.1,6.83,420.09,0.11,553.64,1.82,56,9.7,2360.77
Aluminum,18.52,442.32,3.82,52.45,18.59,32.4,497.79,0.25,541.66,8.34,43,16.05,11033.89
Titanium,23.98,226.92,48.78,18.23,17.42,34.59,21.06,0.26,94.35,4.9,12,1.46,7317.34
Aluminum,2.42,257.66,40.94,66.31,14.3,32.97,65.3,0.26,704.25,6.64,23,12.6,4862.17
Aluminum,6.5,315.16,42.7,59.55,2.57,22.8,308.64,0.15,631.3,9.7,43,14.88,6166.07
Aluminum,2.17,463.56,46.93,46.66,15.63,13.15,412.08,0.13,205.24,7.41,56,19.87,4847.28
Titanium,16.89,14.46,4.71,56.92,16.26,34.59,149.77,0.34,480.05,9.3,95,13.9,2948.94
Plastic,22.65,241.04,19.59,90.69,15.47,30.45,127.21,0.33,725.92,8.16,15,5.41,9001.78
Plastic,7.6,345.42,4.02,27.67,2.72,39.33,395.62,0.19,538.85,11.1,95,3.06,4039.52
Aluminum,23.32,362.74,10.93,12.03,13.06,10.45,37.63,0.3,407.58,10.59,108,13.18,11465.19
Copper,3.39,347.8,11.85,87.55,16.77,12.9,191,0.19,335.89,8.01,100,10.94,3993.46
Steel,23.49,71.55,23.72,61.94,11.76,12.41,257.85,0.18,618.19,10.18,119,18.08,6283.09
Titanium,10.09,153.2,13.79,90.16,13.1,32.74,284.57,0.1,940.33,13.1,99,14.81,5855.46
Steel,4.33,182.56,5.5,63.73,9.44,11.54,367.02,0.18,678.31,6.48,20,10.69,2259.33
Copper,13.18,403.2,8.79,82.91,10.81,7.33,183.87,0.21,93.25,6.19,110,8.67,7536.7
Titanium,7.91,142.99,7.79,48.67,1.17,39.95,310.22,0.06,471.47,11.46,75,8.68,2827.63
Aluminum,8.55,109.3,48.67,77.49,12.96,5.87,296.83,0.18,893.01,8.74,50,5.3,6075.14
Plastic,9.07,478.94,38.08,92.17,2.09,34.23,278.33,0.28,112.57,1.07,20,1.33,8188.94
Steel,20.47,9.39,48.4,61.49,8.98,17.79,323.84,0.25,989.1,13.38,59,11.92,5127.14
Brass,14.4,498.92,22.27,26.27,6.21,34.46,137.13,0.24,950.09,0.46,50,5.04,9251.53
Brass,9.16,340.03,14.28,34.19,11.14,24.41,51.48,0.32,96.71,11.23,20,4.96,4437
Copper,16.04,415.09,40.02,27.88,3.1,36.56,68.44,0.06,934.75,11.38,106,3.38,9941.96
Aluminum,18.47,150.84,16.65,32.22,13.99,37.42,120.05,0.22,375.87,14.3,116,4.6,5180.26
Steel,8.27,12.09,15.32,37.58,16,5.32,255.1,0.29,847.81,0.81,5,1.6,1691.43
Aluminum,11.51,370.25,12.01,59.96,3.69,7.64,421.82,0.21,430.02,8.95,72,13.81,6904.22
Steel,4.8,417.9,6.92,62.92,2.53,13.76,353.63,0.15,452.04,6.42,64,8.63,3662.32
Copper,6.17,371.54,13.19,48.38,3.34,28.43,396.63,0.09,641.56,4.96,75,11.67,4691.7
Copper,17.67,75.71,18.09,65.39,17.6,36.09,181.98,0.32,778.99,1.35,57,13.1,4757.87
Brass,6.17,377.95,33.86,17.34,10.8,21.1,208.28,0.19,53.11,8.44,77,19.48,4936.42
Aluminum,14.08,385.62,3.6,17.9,9.61,26.24,202.9,0.31,601.29,7.19,5,2.3,6812.21
Titanium,18.31,330.98,10.92,25.46,2.58,11.6,104.02,0.23,203,1.57,64,8.94,7262.43
Brass,4.46,384.23,40.55,56.63,13.17,33.17,40,0.25,359.03,9.19,85,5.67,5455.33
Aluminum,15.05,423.73,7.77,29.26,17.43,38.86,299.55,0.29,361.01,11.07,33,10.06,8767.63
Brass,7.9,308.73,17.46,35.5,16.65,14.4,494.72,0.25,479.68,11.51,55,18.49,5199.59
Titanium,24.15,48.86,43.3,46.03,12.71,22.32,91.75,0.17,347.45,13.58,74,14.76,5072.28
Plastic,13.12,246.38,8.17,83.07,1.97,8.01,32.88,0.2,125.21,6.14,2,13.58,4284.39
Plastic,20.54,43.44,4.6,11.25,2.69,24.57,391.97,0.29,162.72,14.3,41,9.38,1798.67
Plastic,14.66,206.73,24.48,68.44,1.46,22.6,133.77,0.16,52.77,12.98,61,13.75,6045.37
Plastic,3,206.52,15.47,70.2,5.52,10.06,416.53,0.17,480.84,4.45,5,1.62,2348.41
Steel,16.56,37.67,28.39,81.88,3.15,20.47,354.93,0.08,955.36,2.39,5,12.14,4072.23
Plastic,23.88,177.67,40.29,93.95,5.57,16.69,473.38,0.32,133.36,6.53,62,11.52,9397.1
Titanium,15.84,59.94,7.29,11.81,8.01,23.26,210.37,0.08,947.34,6.03,19,7.59,2387.49
Copper,20.84,405.08,29.24,23.84,18.89,25.5,334.37,0.24,738.69,8.64,20,4.83,11265.56
Copper,22.34,474.11,25.52,89.76,12.4,5.3,237.78,0.17,644.75,8.75,1,16.34,14576.29
Steel,7.25,40.8,7.63,51.27,16.78,31.64,318.99,0.17,652.37,11.25,89,2.02,2137.57
Plastic,6.88,477.78,31.39,60.81,14.35,29.96,230.3,0.25,830.19,7.65,94,2.32,6983.19
Plastic,16.05,263.68,14.05,69.67,2.69,17.82,102.43,0.07,124.78,1.57,89,9.37,6291.19
Plastic,11.45,153.29,24.65,71.12,14.85,6.85,258.87,0.23,514.66,12.87,55,5.8,4729.09
Brass,21.32,43.05,4.57,93.86,5.86,31.42,269.01,0.28,703.15,4.65,95,15.16,3792.24
Aluminum,22.7,252.81,23.25,99.73,12.96,38.43,407.2,0.3,595.08,14.57,9,13.05,10226.39
Brass,10.13,398.29,15.67,74.81,7.15,13.41,370.41,0.1,836.12,1.77,86,15.68,7595.89
Aluminum,7.45,355.01,41.21,35.85,19.95,16.32,335.26,0.32,90.83,14.37,69,7.17,5520.69
Plastic,19.95,29.86,3.32,89.18,5.64,11.43,65.56,0.25,696.89,1.37,22,15.07,2009.23
Plastic,8.32,41.09,21.22,14.43,5.94,25.19,363.1,0.31,543.35,3.47,91,17.38,3047.06
Brass,20.92,204.42,23.19,30.8,18.65,10.42,255.15,0.2,391.58,0.7,112,7.56,6504.32
Brass,11.75,151.17,36.39,90.76,0.98,17.47,448.11,0.21,353.47,10.58,29,7.46,5947.96
Aluminum,17.35,120.03,28.93,33.06,14.09,29.4,460.74,0.33,628.42,12.75,77,18.1,5892.88
Copper,4.2,144.1,33.53,29.86,14.64,24.6,37.03,0.32,893.18,6.51,36,1.95,2981.2
Aluminum,16.35,402.72,38.96,22.43,16.81,18.53,412.11,0.18,506.25,13.93,54,7.65,9680.58
Brass,12.39,464.97,43.18,87.32,19.5,19.71,28.47,0.13,828.23,8.85,95,3.25,11566.33
Titanium,15.49,205.53,16.04,55.01,19.52,24.67,189.91,0.17,414.11,9.45,48,1.55,5369.23
Brass,5.86,453.52,27.13,70.74,1.77,5.21,275.73,0.17,120.35,12.68,33,3.14,5193.86
Titanium,18.95,164.14,42.09,31.52,16.53,7.75,82.57,0.14,80.28,4.45,104,9.19,5751.25
Steel,21.84,240.84,49.48,78.22,13.1,35.84,375.69,0.13,70.31,5.31,43,14.05,10602.38
Brass,6.99,116.88,44.53,78.4,13.12,7.73,14.09,0.31,392.55,13.59,114,6.5,5658.51
Steel,4.2,322.04,18.89,38.13,3,29.74,92.61,0.07,350.49,13.51,21,17.14,3061.71
Copper,2.54,489.6,10.16,46.96,13.18,37.2,294.59,0.25,723.58,14.65,30,9.31,3469.71
Aluminum,16.77,303.73,24.72,28.87,19.66,14.47,360.05,0.1,747.97,13.53,6,19.4,7681.23
Titanium,15.96,182.12,37.21,97.89,18.28,17.97,459.16,0.15,69.84,1.91,104,19.13,9061.36
Aluminum,14.57,325.67,24.88,68.1,9.06,24.91,355.69,0.07,236.7,12.36,20,15.69,7826.91
Steel,7.33,65.85,24.42,94.11,1.28,35.86,339.17,0.13,288.78,6.15,15,18.72,3470.1
Titanium,10.99,444.89,41.99,37.3,7.56,37.97,203.23,0.28,556.66,14.86,19,14.43,8356.91
Aluminum,15.67,254.03,18.39,80.37,16.61,30.88,10.63,0.32,161.62,7.08,42,18.02,7175.26
Brass,13.43,227.43,43.06,78.93,14.18,8.03,68.88,0.12,151.26,8.31,43,5.49,7216.39
Plastic,24.72,295,20.64,72.25,9.46,28.42,271.93,0.19,944.91,7.95,46,7.56,10976.58
Steel,5.14,314.27,16.75,96.91,1.57,19.36,340.81,0.19,808.12,4.83,113,15.31,5949.91
Aluminum,17.99,40.53,22.97,45.42,8.82,21.47,214.55,0.31,197.04,1.13,18,9.07,2396.85
Steel,11.3,342.9,38.24,21.76,9.65,6.72,368.03,0.28,418.44,13.43,47,16.91,6608.36
Steel,11.85,124.76,6.74,70.45,18.61,11.69,265.71,0.2,368.51,12.04,95,17.68,4450.04
Titanium,18.5,358.41,10.22,75.64,13,32.67,46.35,0.25,795.18,2.09,78,6.69,9295.5
Titanium,17.93,412.15,47.6,61.76,6.58,20.89,104.09,0.3,520.01,11.65,68,16.65,13011.44
Plastic,24.8,402.96,9.19,28.61,10.74,15.56,421.6,0.05,145.29,9.39,10,3.93,11567.5
Brass,4.95,278.49,28.6,55.4,1.79,18.44,365.21,0.17,744.21,6.14,78,7.35,4460.21
Steel,4.39,262.48,29.18,38.1,19.47,34.9,448.43,0.32,408.95,3.81,28,10.84,3843.42
Aluminum,18.66,75.72,24.74,48.47,7.52,31.21,67.6,0.27,277.67,12.9,113,5.3,3923.87
Copper,15.3,388.8,32.41,68.07,9.82,14.53,495.21,0.21,387.99,10.5,44,12.01,9942.5
Steel,8.31,139.35,11.88,77.07,7.43,9.11,112.61,0.21,507.8,8.22,67,12,3571.91
Steel,3.83,250.86,27.86,30.9,13.81,13.82,15.77,0.15,356.25,9.14,112,4.93,3011.11
Plastic,3.97,145.72,18.92,46.48,13.41,37.23,498.74,0.21,257.07,1.37,35,16.12,2891.1
Brass,22.57,71.25,33.25,34.22,14.45,25.36,147.73,0.25,410.53,7.11,47,13,4285.18
Copper,6.41,316.63,7.49,27.88,5.73,23.67,337.33,0.18,38.79,2.91,86,7.04,3138.06
Titanium,9.44,31.89,28.76,80.5,6.66,25.87,96.57,0.26,777.05,3.13,14,5.41,3675.84
Titanium,7.21,375.58,9.67,91.83,2.94,17.81,294.31,0.31,187.53,9.92,109,17.7,6124.98
Aluminum,10.16,162.21,14.29,43.32,13.28,33.25,452.98,0.1,63.03,13.67,43,16.88,3768.11
Copper,3.6,5.07,11.33,77.62,1.28,23.32,166.89,0.19,660.62,6.06,66,5.37,1975.39
Titanium,13.94,258.01,9.55,90.73,12.15,9.09,338.42,0.17,778.46,3.12,95,1.68,5681.38
Aluminum,3.56,28.19,41.37,86.15,17.46,9.52,102.07,0.26,817.55,9.73,73,16.29,5873.62
Brass,20.41,141.7,14.64,26.45,17.87,23.79,316.15,0.12,503.64,13.07,39,12.69,5118.94
Aluminum,7.38,354.95,46.39,96.07,9.26,37.78,174.86,0.24,221.26,11.22,101,2.92,8278.12
Titanium,14.42,36.03,48.51,43.9,9.46,15.79,113.49,0.31,742.48,13.03,85,12.16,4677.47
Plastic,22.24,420.47,28.78,40.53,2,35.43,163.46,0.18,705.72,8.05,13,9.59,12201.15
Plastic,16.97,6.89,7.58,15.62,13.58,31.74,97.63,0.32,261.35,11.28,62,15.72,1946.77
Plastic,14.26,127.18,19.04,53.76,16.51,13.67,451.94,0.35,905.34,2.1,80,4.97,4562.07
Titanium,9.46,371.75,39.99,19.81,5.27,6.27,204.62,0.08,122.28,5.22,84,9.61,5471.46
Plastic,9.66,161.55,18.69,32.37,8.72,8.56,130.19,0.12,983.03,5.84,50,3.97,3528.5
Copper,17.4,55.44,4.81,38.52,16.86,30.5,229.72,0.34,863.04,7.67,111,19.19,4809.39
Brass,24.87,183.32,28.06,82.79,17.6,11.99,167.06,0.34,694.14,13.94,78,15.8,9712.17
Aluminum,17.22,138.84,42.33,88.79,5.24,17.99,374.77,0.08,939.97,13.11,57,15,8381.96
Aluminum,14.83,422.14,39.9,37.22,11.24,22.56,485.9,0.05,727.86,2.02,14,14.11,9075.14
Titanium,18.8,160.11,9.17,87.28,4.25,30.39,224.64,0.1,206.65,2.59,64,9.04,4825.22
Plastic,12.7,395.52,33.8,87.15,2.49,8.96,431.91,0.35,453.31,5.36,87,18.54,10477.78
Plastic,3.38,446.48,11.41,78.82,18.27,19.22,287.27,0.1,90.07,4.36,54,2.39,3073.24
Steel,14.93,219.74,11.3,23.2,16.5,21.98,87.05,0.2,401.86,9.22,118,16.26,6545.98
Brass,24.03,455.42,43.77,72.13,15.32,23.93,348.41,0.3,746.77,13.54,75,5.09,17182.31
Copper,6.03,191.77,12.86,95.05,1.45,33.64,261.58,0.06,398.71,14.43,9,7.16,3073.2
Aluminum,17.87,482.22,13.53,71.43,16.95,11.01,328.8,0.23,343.69,9.8,109,10.87,12218.98
Steel,6.62,49.2,0.53,39.85,9.04,33.27,445.95,0.13,603.45,12.57,105,15.87,3016.3
Steel,14.32,345.07,43.6,55.05,7.18,29.25,225.81,0.31,874.76,7.88,41,16.93,9579.87
Titanium,4.22,249.44,39.73,68.12,11.16,24.46,451.58,0.14,66.63,3.12,115,12.09,5585.06
Aluminum,12.36,196.89,31.55,55.95,2.28,29.48,377.83,0.26,397.76,7.87,94,8.66,5767.55
Titanium,19.39,318.19,37.64,20.8,15.25,19.42,249.42,0.25,175.08,8.33,10,18.98,8189.94
Copper,9.99,353.41,8.03,38.09,11.86,9.84,305.58,0.12,701.45,11.14,117,5.68,5749.12
Steel,17.29,7.16,23.19,82.22,4.14,28.3,169.53,0.06,123.61,3.3,15,16.26,2529.41
Steel,20.3,87.64,17.89,87.53,4.17,23.36,491.96,0.17,671.51,5.52,72,12.63,5205.12
Brass,23.33,357.96,5.14,22.36,4.09,27.38,337,0.14,300.46,5.46,110,8.16,10279.34
Copper,7.4,334.86,24.56,95.71,1.61,16.83,31.48,0.29,214.94,14.39,77,1.03,5515.66
Steel,11.18,483.19,46.08,39.59,11.96,36.74,170.04,0.29,937.63,6.66,18,9.49,9183.32
Copper,5.51,381.71,2.48,69.61,16.89,25.56,315.42,0.19,38.15,11.33,30,6.26,3231.74
Aluminum,24.83,475.63,14.93,77.66,0.84,7.99,37.6,0.23,449.02,11.26,72,2.98,14978.09
Plastic,23.32,352.76,10.77,83.08,1.46,20.74,21.7,0.23,41.19,3.98,99,2.43,9765.58
Steel,14.42,152.54,12.29,95.12,11.67,31.47,230.51,0.3,493.92,8.58,52,7.6,4882.91
Brass,21.37,57.16,45.47,38.16,16.48,32.79,173.02,0.18,511.03,13.41,102,12.68,5496.36
Aluminum,13.98,392,23.67,87.27,6.87,22.31,224.77,0.13,335.23,7.13,117,16.91,10432.77
Copper,16.34,323.85,23.58,21.85,7.32,36.32,138.72,0.13,149.52,14.18,89,4.49,7390.32
Titanium,4.05,28.85,38.15,73.45,12.13,14.37,90.71,0.21,388.86,3.22,7,9.07,3568.43
Aluminum,19.37,183.22,8.15,76.78,5.85,19.37,347.68,0.18,678.82,1.11,23,8.45,5263.19
Steel,4.94,478.62,24.62,71,1.02,36.45,262.14,0.18,786.75,13.37,7,10.75,5374.88
Copper,21,252.7,21.78,32.71,14.84,36.37,108.08,0.08,540.14,12.72,82,16.38,9125.81
Plastic,19.99,219.2,30.05,88.57,12.7,29,166.6,0.27,598.04,14.89,110,11.52,9974.31
Aluminum,18.3,231.56,49.98,25.2,11.82,35.06,299.99,0.11,216.6,10.19,47,17.09,7396.09
Steel,2.83,108.4,38.59,14.83,14.96,8.11,45.39,0.11,301.58,14.05,29,10.85,1664.71
Brass,8.97,187.51,20.19,74.57,13.67,35.27,82.25,0.17,178.66,12.4,57,12.47,4781.67
Titanium,8.05,188.06,41.46,52.79,4.51,16.22,45.89,0.12,264.31,12.67,85,9.31,5028.68
Copper,10.28,30.92,8.95,86.42,7.37,11.24,408.04,0.23,240.39,8.54,54,16.64,2434.1
Aluminum,4.02,384.95,2.01,44.51,2.96,13.38,378.68,0.16,529.06,5.74,72,18.55,3690.64
Aluminum,23.55,211.17,10.62,25.15,3.03,19.63,379.12,0.18,571.43,14.02,61,13.14,7438.06
Plastic,14.74,411.98,17.35,85.28,13.69,13.79,361,0.21,946.05,6.48,107,16.59,10931.47
Plastic,9.03,425.92,25.77,59.4,17.24,16.22,338,0.11,211.66,8.08,47,2.12,6315.67
Brass,11.13,109.94,30.95,27.03,19.27,9.72,243.73,0.1,648.84,6.69,3,18.22,3057.25
Titanium,12.29,330.39,45.57,74.83,12.75,15.37,324.72,0.31,820.91,8.47,36,4.59,9097.2
Brass,15.81,238.78,25.74,56,4.09,25.03,28.8,0.18,569.04,7.06,7,5.87,6200.76
Steel,13.86,440.68,25.31,64.39,2.56,20.46,314.52,0.17,269.9,0.72,0,2.01,8157.26
